齿数s,齿数p1,齿数p2,齿数r1,齿数r2,传动比,正向效率,逆向效率
7,14,18,35,37,-27.75,0.955,0.96
7,14,17,35,35,-28.0,0.954,0.959
9,15,18,39,39,-26.667,0.953,0.958
8,13,17,34,37,-26.034,0.951,0.956
7,14,10,35,32,27.429,0.95,0.941
9,15,11,39,36,25.946,0.95,0.941
8,13,16,34,35,-26.84,0.949,0.954
7,14,16,35,33,-28.286,0.948,0.953
7,14,12,35,39,26.0,0.948,0.939
10,14,17,38,39,-26.208,0.948,0.953
7,14,15,35,31,-28.615,0.947,0.952
7,14,11,35,36,25.412,0.947,0.937
8,13,10,34,33,25.306,0.947,0.937
9,15,17,39,37,-27.407,0.947,0.951
9,15,12,39,38,29.804,0.947,0.938
9,15,11,39,35,29.167,0.946,0.936
7,11,15,29,33,-25.929,0.945,0.951
7,14,14,35,29,-29.0,0.945,0.95
7,14,12,35,38,28.5,0.945,0.936
9,15,16,39,35,-28.283,0.945,0.949
7,14,13,35,27,-29.455,0.944,0.949
7,14,11,35,35,28.0,0.944,0.934
7,11,14,29,31,-26.98,0.943,0.949
9,15,15,39,33,-29.333,0.943,0.947
9,15,12,39,39,26.667,0.943,0.934
8,13,10,34,32,28.737,0.942,0.931
9,12,15,33,35,-26.133,0.942,0.948
11,13,16,37,39,-26.028,0.942,0.947
8,13,15,34,33,-27.806,0.941,0.946
10,14,10,38,33,27.044,0.941,0.93
10,14,11,38,36,28.13,0.941,0.931
7,11,13,29,29,-28.286,0.94,0.946
8,13,12,34,26,-25.35,0.94,0.946
8,13,9,34,29,27.877,0.94,0.929
8,13,12,34,39,26.886,0.94,0.93
10,14,14,38,32,-25.6,0.94,0.945
10,14,16,38,37,-27.627,0.94,0.944
8,13,11,34,36,26.138,0.939,0.929
8,13,14,34,31,-28.983,0.938,0.943
9,12,14,33,33,-28.0,0.938,0.944
9,12,16,33,38,-29.556,0.938,0.943
11,13,15,37,37,-28.364,0.937,0.942
7,11,12,29,39,27.238,0.936,0.925
10,14,13,38,30,-27.243,0.936,0.941
10,14,15,38,35,-29.4,0.936,0.941
7,11,8,29,26,27.238,0.935,0.922
7,11,11,29,36,26.449,0.935,0.923
8,13,11,34,35,29.491,0.935,0.924
9,12,9,33,30,26.667,0.935,0.922
11,13,9,37,31,25.122,0.935,0.923
11,13,10,37,34,26.788,0.935,0.923
7,11,7,29,23,26.023,0.934,0.919
7,11,10,29,33,25.573,0.934,0.922
8,10,13,28,31,-25.833,0.934,0.94
9,12,8,33,27,25.2,0.934,0.921
10,11,14,32,35,-25.667,0.934,0.94
10,14,12,38,39,29.12,0.934,0.924
11,13,14,37,34,-25.378,0.934,0.939
12,12,15,36,39,-26.0,0.934,0.939
9,12,11,33,37,25.58,0.933,0.922
7,11,10,29,22,-25.929,0.931,0.937
9,12,12,33,28,-26.133,0.931,0.937
10,11,15,32,38,-28.316,0.931,0.936
7,11,12,29,27,-29.95,0.929,0.934
8,10,14,28,34,-29.423,0.929,0.935
7,11,10,29,32,29.198,0.928,0.916
8,10,12,28,29,-28.37,0.928,0.934
11,13,13,37,32,-27.927,0.928,0.933
7,11,9,29,29,28.286,0.927,0.913
9,12,11,33,36,29.217,0.927,0.915
10,11,13,32,33,-28.766,0.927,0.932
12,12,9,36,32,25.6,0.927,0.913
8,10,8,28,27,26.413,0.926,0.911
9,12,10,33,33,28.0,0.926,0.914
11,13,9,37,30,29.856,0.926,0.913
11,13,11,37,37,28.364,0.926,0.914
12,12,14,36,37,-29.6,0.926,0.931
8,10,10,28,34,25.5,0.925,0.911
9,12,11,33,26,-28.549,0.925,0.93
10,11,9,32,31,27.023,0.925,0.911
12,12,10,36,35,28.0,0.925,0.912
8,10,11,28,37,26.855,0.924,0.911
7,8,11,23,27,-25.019,0.923,0.93
10,11,12,32,30,-25.667,0.923,0.928
10,11,11,32,38,26.6,0.923,0.91
12,12,11,36,39,26.0,0.923,0.91
12,12,13,36,34,-27.2,0.922,0.926
9,9,13,27,34,-27.2,0.92,0.926
10,11,10,32,25,-25.667,0.919,0.924
8,10,10,28,24,-27.0,0.918,0.923
7,8,12,23,30,-28.571,0.917,0.923
12,12,8,36,28,28.0,0.917,0.902
8,10,9,28,30,28.125,0.916,0.901
8,10,10,28,33,29.7,0.916,0.902
10,11,7,32,24,27.72,0.915,0.898
10,11,10,32,34,29.089,0.915,0.901
10,11,11,32,28,-29.4,0.914,0.918
12,12,11,36,29,-29.0,0.914,0.918
7,8,10,23,25,-28.571,0.912,0.918
8,10,6,28,20,28.125,0.912,0.893
9,9,11,27,29,-29.0,0.912,0.917
7,8,9,23,31,25.923,0.911,0.893
9,9,9,27,32,25.6,0.91,0.892
9,9,10,27,26,-26.0,0.908,0.912
9,9,10,27,35,28.0,0.907,0.89
7,8,7,23,24,26.544,0.9,0.879
7,8,8,23,27,28.929,0.899,0.879
9,9,8,27,28,28.0,0.899,0.879
9,9,6,27,21,28.0,0.898,0.876
7,8,8,23,20,-28.571,0.896,0.9
9,9,8,27,21,-28.0,0.895,0.898
7,8,5,23,17,27.755,0.894,0.869
7,8,6,23,15,-28.571,0.883,0.887
